TABLA DE RESULTADOS DEL ALGORITMO RAMIFICACION Y PODA
____________________________________________________________________________________________________________________________________________
Problema                 n         K         m         z              S                        CPU                      Nodos_generados
____________________________________________________________________________________________________________________________________________
max_div_15_2.txt         15        2         2         11.86          8 6                      1.51e-03                 15        
max_div_15_2.txt         15        2         2         11.86          8 6                      1.79e-03                 15        
max_div_15_2.txt         15        2         2         11.86          8 6                      1.42e-03                 15        
max_div_15_2.txt         15        2         2         11.86          8 6                      1.35e-03                 15        
max_div_15_2.txt         15        2         3         27.37          8 6 0                    2.40e-02                 15        
max_div_15_2.txt         15        2         3         27.37          0 6 8                    2.35e-02                 15        
max_div_15_2.txt         15        2         3         27.37          0 6 8                    1.64e-02                 15        
max_div_15_2.txt         15        2         3         27.37          8 6 0                    1.91e-02                 15        
max_div_15_2.txt         15        2         4         49.83          0 6 8 5                  1.51e-01                 169       
max_div_15_2.txt         15        2         4         49.83          8 5 0 6                  1.41e-01                 169       
max_div_15_2.txt         15        2         4         49.83          0 6 8 5                  1.43e-01                 169       
max_div_15_2.txt         15        2         4         49.83          0 6 8 5                  1.54e-01                 169       
