TABLA DE RESULTADOS DEL ALGORITMO GRASP
_________________________________________________________________________________________________
Problema                 n         K         m         Iter           |LRC|     z              S         CPU                      
_________________________________________________________________________________________________
max_div_15_3.txt         15        3         2         10             2         13.2732        2         0                        
max_div_15_3.txt         15        3         2         10             3         13.2732        2         0                        
max_div_15_3.txt         15        3         2         20             2         13.2732        2         0                        
max_div_15_3.txt         15        3         2         20             3         13.2732        2         0                        
max_div_15_3.txt         15        3         3         10             2         31.8685        3         0                        
max_div_15_3.txt         15        3         3         10             3         30.3241        3         0                        
max_div_15_3.txt         15        3         3         20             2         31.8685        3         0                        
max_div_15_3.txt         15        3         3         20             3         31.8685        3         0                        
max_div_15_3.txt         15        3         4         10             2         59.7638        4         0                        
max_div_15_3.txt         15        3         4         10             3         58.7287        4         0                        
max_div_15_3.txt         15        3         4         20             2         59.7638        4         0                        
max_div_15_3.txt         15        3         4         20             3         59.7638        4         0                        
max_div_15_3.txt         15        3         5         10             2         94.7487        5         0                        
max_div_15_3.txt         15        3         5         10             3         91.5969        5         0                        
max_div_15_3.txt         15        3         5         20             2         94.7487        5         0                        
max_div_15_3.txt         15        3         5         20             3         94.7487        5         0                        
_________________________________________________________________________________________________
max_div_15_2.txt         15        2         2         10             2         11.8592        2         0                        
max_div_15_2.txt         15        2         2         10             3         11.8592        2         0                        
max_div_15_2.txt         15        2         2         20             2         11.8592        2         0                        
max_div_15_2.txt         15        2         2         20             3         11.8592        2         0                        
max_div_15_2.txt         15        2         3         10             2         25.7262        3         0                        
max_div_15_2.txt         15        2         3         10             3         25.9285        3         0                        
max_div_15_2.txt         15        2         3         20             2         25.7262        3         0                        
max_div_15_2.txt         15        2         3         20             3         26.0136        3         0                        
max_div_15_2.txt         15        2         4         10             2         48.8153        4         0                        
max_div_15_2.txt         15        2         4         10             3         48.8153        4         0                        
max_div_15_2.txt         15        2         4         20             2         49.0107        4         0                        
max_div_15_2.txt         15        2         4         20             3         49.5462        4         0                        
max_div_15_2.txt         15        2         5         10             2         77.787         5         0                        
max_div_15_2.txt         15        2         5         10             3         75.6025        5         0                        
max_div_15_2.txt         15        2         5         20             2         77.787         5         0                        
max_div_15_2.txt         15        2         5         20             3         77.787         5         0                        
_________________________________________________________________________________________________
max_div_20_3.txt         20        3         2         10             2         11.8003        2         0                        
max_div_20_3.txt         20        3         2         10             3         11.8003        2         0                        
max_div_20_3.txt         20        3         2         20             2         11.8003        2         0                        
max_div_20_3.txt         20        3         2         20             3         11.8003        2         0                        
max_div_20_3.txt         20        3         3         10             2         30.8727        3         0                        
max_div_20_3.txt         20        3         3         10             3         30.8727        3         0                        
max_div_20_3.txt         20        3         3         20             2         30.8727        3         0                        
max_div_20_3.txt         20        3         3         20             3         30.8727        3         0                        
max_div_20_3.txt         20        3         4         10             2         55.6417        4         0                        
max_div_20_3.txt         20        3         4         10             3         56.6903        4         0                        
max_div_20_3.txt         20        3         4         20             2         56.5347        4         0                        
max_div_20_3.txt         20        3         4         20             3         56.6903        4         0                        
max_div_20_3.txt         20        3         5         10             2         90.8648        5         0                        
